#type Date UTC      F_10_7       F81      KP
#type=R - Real Data;  type=F - Forec
R 2003/03/27    141.000    133.025      3.000
R 2003/03/28    147.000    132.840      3.000
R 2003/03/29    155.000    132.741      3.000
R 2003/03/30    155.000    132.506      3.000
R 2003/03/31    160.000    132.222      4.000
R 2003/04/01    153.000    131.827      3.000
R 2003/04/02    158.000    131.444      3.000
R 2003/04/03    156.000    131.235      3.000
R 2003/04/04    153.000    131.000      3.000
R 2003/04/05    137.000    130.667      3.000
R 2003/04/06    126.000    130.370      3.000
R 2003/04/07    116.000    130.012      3.000
R 2003/04/08    112.000    129.642      3.000
R 2003/04/09    109.000    129.296      3.000
R 2003/04/10    103.000    128.963      4.000
R 2003/04/11    103.000    128.531      4.000
R 2003/04/12    102.000    128.136      4.000
R 2003/04/13    102.000    127.790      4.000
R 2003/04/14    102.000    127.370      5.000
R 2003/04/15    101.000    127.012      3.000
R 2003/04/16     99.000    126.642      4.000
R 2003/04/17    101.000    126.346      4.000
R 2003/04/18    108.000    126.185      3.000
R 2003/04/19    112.000    126.012      4.000
R 2003/04/20    119.000    125.951      3.000
R 2003/04/21    126.000    126.012      3.000
R 2003/04/22    132.000    126.160      3.000
R 2003/04/23    133.000    126.247      4.000
R 2003/04/24    128.000    126.259      4.000
R 2003/04/25    144.000    126.395      3.000
R 2003/04/26    144.000    126.506      4.000
R 2003/04/27    154.000    126.679      4.000
R 2003/04/28    152.000    126.704      3.000
R 2003/04/29    155.000    126.802      3.000
R 2003/04/30    154.000    126.988      3.000
R 2003/05/01    149.000    127.086      5.000
R 2003/05/02    144.000    127.185      5.000
R 2003/05/03    148.000    127.346      3.000
R 2003/05/04    142.000    127.469      3.000
R 2003/05/05    129.000    127.444      3.000
R 2003/05/06    129.000    127.420      3.000
R 2003/05/07    110.000    127.247      5.000
R 2003/05/08    101.000    127.025      4.000
R 2003/05/09     97.000    126.840      3.000
R 2003/05/10     93.000    126.630      3.000
R 2003/05/11     92.000    126.333      4.000
R 2003/05/12     94.000    126.037      4.000
R 2003/05/13     96.000    125.741      5.000
R 2003/05/14     96.000    125.605      5.000
R 2003/05/15     99.000    125.543      4.000
R 2003/05/16    103.000    125.556      4.000
R 2003/05/17    102.000    125.556      3.000
R 2003/05/18    109.000    125.556      4.000
R 2003/05/19    115.000    125.519      4.000
R 2003/05/20    124.000    125.506      3.000
R 2003/05/21    119.000    125.272      3.000
R 2003/05/22    118.000    124.914      3.000
R 2003/05/23    118.000    124.531      4.000
R 2003/05/24    117.000    124.173      4.000
R 2003/05/25    121.000    123.827      4.000
R 2003/05/26    125.000    123.519      4.000
R 2003/05/27    129.000    123.259      5.000
R 2003/05/28    130.000    123.037      5.000
R 2003/05/29    138.000    122.852      3.000
R 2003/05/30    117.000    122.519      3.000
R 2003/05/31    113.000    122.160      3.000
R 2003/06/01    112.000    121.840      3.000
R 2003/06/02    121.000    121.679      4.000
R 2003/06/03    115.000    121.383      6.000
R 2003/06/04    106.000    121.074      5.000
R 2003/06/05    114.000    120.889      5.000
R 2003/06/06    126.000    120.901      6.000
R 2003/06/07    133.000    121.086      5.000
R 2003/06/08    153.000    121.642      4.000
R 2003/06/09    158.000    122.395      4.000
R 2003/06/10    177.000    123.457      5.000
R 2003/06/11    193.000    124.741      4.000
R 2003/06/12    164.000    125.617      3.000
R 2003/06/13    151.000    126.272      3.000
R 2003/06/14    134.000    126.580      3.000
R 2003/06/15    129.000    126.605      3.000
R 2003/06/16    123.000    126.383      3.000
R 2003/06/17    122.000    126.074      4.000
R 2003/06/18    120.000    125.642      5.000
R 2003/06/19    123.000    125.247      5.000
R 2003/06/20    117.000    124.716      5.000
R 2003/06/21    115.000    124.247      4.000
R 2003/06/22    110.000    123.654      4.000
R 2003/06/23    114.000    123.136      4.000
R 2003/06/24    115.000    122.667      5.000
R 2003/06/25    116.000    122.407      4.000
R 2003/06/26    119.000    122.321      4.000
R 2003/06/27    124.000    122.420      3.000
R 2003/06/28    124.000    122.568      3.000
R 2003/06/29    127.000    122.790      5.000
R 2003/06/30    128.000    123.099      5.000
R 2003/07/01    131.000    123.444      5.000
R 2003/07/02    135.000    123.852      3.000
R 2003/07/03    132.000    124.222      3.000
R 2003/07/04    140.000    124.691      4.000
R 2003/07/05    142.000    125.198      4.000
R 2003/07/06    130.000    125.580      5.000
R 2003/07/07    133.000    125.975      5.000
R 2003/07/08    131.000    126.259      4.000
R 2003/07/09    126.000    126.432      3.000
R 2003/07/10    123.000    126.481      3.000
R 2003/07/11    122.000    126.432      5.000
R 2003/07/12    122.000    126.309      4.000
R 2003/07/13    127.000    126.235      3.000
R 2003/07/14    127.000    126.222      5.000
R 2003/07/15    126.000    126.000      5.000
R 2003/07/16    133.000    125.864      4.000
R 2003/07/17    139.000    125.679      4.000
R 2003/07/18    140.000    125.531      4.000
R 2003/07/19    146.000    125.420      3.000
R 2003/07/20    157.000    125.457      4.000
R 2003/07/21    156.000    125.543      5.000
R 2003/07/22    153.000    125.654      3.000
R 2003/07/23    144.000    125.605      3.000
R 2003/07/24    125.000    125.395      3.000
R 2003/07/25    112.000    125.185      3.000
R 2003/07/26    103.000    124.864      3.000
R 2003/07/27    102.000    124.765      3.000
R 2003/07/28    103.000    124.790      3.000
R 2003/07/29    100.000    124.827      3.000
R 2003/07/30     99.000    124.901      5.000
R 2003/07/31    102.000    125.025      4.000
R 2003/08/01    107.000    125.185      4.000
R 2003/08/02    111.000    125.370      4.000
R 2003/08/03    120.000    125.667      3.000
R 2003/08/04    123.000    125.963      3.000
R 2003/08/05    131.000    126.309      3.000
R 2003/08/06    129.000    126.642      5.000
R 2003/08/07    137.000    126.988      6.000
R 2003/08/08    133.000    127.210      5.000
R 2003/08/09    130.000    127.284      3.000
R 2003/08/10    131.000    127.432      3.000
R 2003/08/11    129.000    127.568      3.000
R 2003/08/12    123.000    127.630      5.000
R 2003/08/13    131.000    127.802      6.000
R 2003/08/14    130.000    127.914      4.000
R 2003/08/15    131.000    127.988      3.000
R 2003/08/16    127.000    127.963      4.000
R 2003/08/17    119.000    127.827      3.000
R 2003/08/18    116.000    127.556      3.000
R 2003/08/19    117.000    127.556      3.000
R 2003/08/20    112.000    127.543      3.000
R 2003/08/21    119.000    127.630      3.000
R 2003/08/22    121.000    127.630      5.000
R 2003/08/23    120.000    127.691      5.000
R 2003/08/24    116.000    127.815      4.000
R 2003/08/25    117.000    127.852      5.000
R 2003/08/26    121.000    127.790      5.000
R 2003/08/27    126.000    127.704      3.000
R 2003/08/28    119.000    127.284      3.000
